index_counter,name,latitude,longitude,region,auth_area,elevation
209,Durham I.C.G.,54.8505,-1.5629,North East,Durham,14
210,Thingwall,53.354,-3.0905,North West,Merseyside,67
211,Thirsk Racecourse,54.232,-1.3606,Yorkshire & Humber,North Yorkshire,33
212,Thornhill (Southampton),50.9084,-1.3289,South East,Southampton,47
213,Thorpe Bay,51.5333,0.7628,Eastern England,Southend-on-Sea,6
214,Tillicoultry,56.154,-3.7388,Central Scotland,Clackmannanshire,22
215,Timperley,53.3965,-2.3178,North West,Greater Manchester,30
216,Tong Street,53.7682,-1.7096,Yorkshire & Humber,West Yorkshire,210
217,Carn An Righ,56.8779,-3.5866,Central Scotland,Perth and Kinross,1029
218,Carn Gorm,56.6221,-4.2223,Central Scotland,Perth and Kinross,1029
219,Castle Combe Motor Racing Circuit,51.4874,-2.2058,South West,Wiltshire,124
220,Castle Kennedy Gardens,54.907,-4.9477,Scottish Border,Dumfries and Galloway,32
221,Castlederg,54.7063,-7.5909,Northern Ireland,County Tyrone,45
222,Cathcart,55.8154,-4.2527,Western Scotland,Glasgow,32
223,Catisfield,50.8528,-1.2233,South East,Hampshire,27
224,Cc2000 Cross Hands,51.775,-4.8083,Wales,Pembrokeshire,91
225,Llandudno Ski & Snowboard Centre,53.3286,-3.8371,Wales,Conwy,73
226,Llanfair Caereinion,52.6451,-3.325,Wales,Powys,139
227,Llangybi,52.1594,-4.0341,Wales,Ceredigion,137
228,Llanishen,51.5291,-3.1892,Wales,Cardiff,48
229,Lledr Valley Youth Hostel,53.0658,-3.8654,Wales,Conwy,162
230,Loch A' Tuath,58.239,-6.2753,Northern Scottish Highlands,Na h-Eileanan Siar,0
231,Loch Carron,57.3829,-5.49,Northern Scottish Highlands,Highland,0
232,Loch Duich,57.242,-5.4777,Northern Scottish Highlands,Highland,0
233,Loch Eil,56.8483,-5.2372,Northern Scottish Highlands,Highland,0
234,Loch Goil,56.1284,-4.8945,Western Scotland,Argyll and Bute,0
235,Loch Long,56.1351,-4.8214,Western Scotland,Argyll and Bute,0
236,Loch Nevis,56.9894,-5.6674,Northern Scottish Highlands,Highland,0
237,Loch Sunart,56.6972,-5.7766,Northern Scottish Highlands,Highland,0
238,Lochgilphead,56.0383,-5.4311,Western Scotland,Argyll and Bute,5
239,Lochmaben,55.1291,-3.4404,Scottish Border,Dumfries and Galloway,53
240,Lochnagar,56.9571,-3.2442,Eastern Scottish Highlands,Aberdeenshire,1155
241,Lochranza Youth Hostel,55.6989,-5.2828,Western Scotland,North Ayrshire,22
242,Lochwinnoch,55.7934,-4.6266,Western Scotland,Renfrewshire,31
243,Loddon,52.5321,1.4849,Eastern England,Norfolk,9
244,Lode Heath,52.4165,-1.7823,West Midlands,West Midlands Conurbation,129
245,London Heathrow Airport,51.473,-0.4487,South East,Greater London,26
246,Long Melford,52.0739,0.718,Eastern England,Suffolk,34
247,Long Thurlow,52.275,0.9499,Eastern England,Suffolk,67
248,Longbenton,55.0123,-1.5821,North East,North Tyneside,56
249,Tottenhill,52.6703,0.4297,Eastern England,Norfolk,9
250,Tredegar House Newport,51.5612,-3.0256,Wales,Newport,9
251,Treherbert,51.6746,-3.5359,Wales,Rhondda Cynon Taff,183
252,Trenear,50.1379,-5.246,South West,Cornwall,120
253,Tywyn,52.5867,-4.086,Wales,Gwynedd,9
254,Unsworth,53.5624,-2.2765,North West,Greater Manchester,81
255,Upton House,52.1064,-1.4634,West Midlands,Warwickshire,202
256,Usk,51.7049,-2.9022,Wales,Monmouthshire,43
257,Chester-Le-Street,54.8593,-1.5691,North East,Durham,14
258,Chicheley,52.1022,-0.682,South East,Milton Keynes,76
259,Chichester,50.8371,-0.7734,South East,West Sussex,14
260,Chirk,52.9326,-3.0566,Wales,Wrexham,106
261,Snowtrax Alpine Activity Centre,50.791,-1.816,South West,Dorset,10
262,Cinderhill,52.9829,-1.1995,East Midlands,Nottingham,56
263,Clackmannan,56.1077,-3.7516,Central Scotland,Clackmannanshire,39
264,Longfleet,50.7236,-1.9777,South West,Poole,9
265,Longport,53.0441,-2.2081,West Midlands,Stoke-on-Trent,131
266,Longstone,55.9206,-3.2736,Scottish Border,Edinburgh,70
267,Longton,52.9873,-2.1317,West Midlands,Stoke-on-Trent,150
268,Longtown,55.0092,-2.9705,North West,Cumbria,12
269,Lord's Marylebone C.C.,51.5294,-0.1728,South East,Greater London,40
270,Lostock Junction,53.5711,-2.4957,North West,Greater Manchester,102
271,Loughborough,52.7718,-1.2046,East Midlands,Leicestershire,43
272,Low Moor,53.7537,-1.7563,Yorkshire & Humber,West Yorkshire,159
273,Low Team,54.9545,-1.6271,North East,Gateshead,8
274,Lutterworth,52.4556,-1.1976,East Midlands,Leicestershire,121
275,Lydden Motor Racing Circuit,51.1776,1.1977,South East,Kent,99
276,Lye,52.4582,-2.1161,West Midlands,West Midlands Conurbation,98
277,Lyme Hall,53.334,-2.0499,North West,Cheshire East,276
278,Lyme Regis,50.7247,-2.9353,South West,Dorset,35
279,Lyndon Green,52.4647,-1.7778,West Midlands,West Midlands Conurbation,95
280,Lynton,51.2292,-3.8389,South West,Devon,155
281,Maghera,54.8441,-6.6727,Northern Ireland,County Londonderry,71
282,Magheraveely,54.1968,-7.2848,Northern Ireland,County Fermanagh,66
283,Malpas,53.0188,-2.766,North West,Cheshire West and Chester,114
284,Malvern Hills Youth Hostel,52.0927,-2.3312,West Midlands,Worcestershire,142
285,Mam Sodhail,57.2814,-5.1188,Northern Scottish Highlands,Highland,1180
286,Mapperley,52.9853,-1.1285,East Midlands,Nottingham,109
287,Mapperley Park,52.9751,-1.1441,East Midlands,Nottingham,75
288,Mapperton,50.7876,-2.1347,South West,Dorset,40
289,Walcot,52.9002,-0.4248,East Midlands,Lincolnshire,39
290,Walmer Castle Garden,51.1927,1.3933,South East,Kent,29
291,Walmley,52.5387,-1.8026,West Midlands,West Midlands Conurbation,112
292,Watford F.C.,51.6488,-0.4001,Eastern England,Hertfordshire,69
293,Wedmore,51.2283,-2.8098,South West,Somerset,18
294,Welbourn,53.0751,-0.5572,East Midlands,Lincolnshire,31
295,Wentworth Club,51.393,-0.5964,South East,Surrey,45
296,West Grinstead,50.9779,-0.3232,South East,West Sussex,18
297,West Heath,52.3964,-1.9564,West Midlands,West Midlands Conurbation,172
298,Coalisland,54.5404,-6.6989,Northern Ireland,County Tyrone,31
299,Coleshill,52.4993,-1.705,West Midlands,Warwickshire,100
300,Compton,50.3895,-4.1279,South West,Plymouth,85
301,Conachair,57.8205,-8.5744,Northern Scottish Highlands,Na h-Eileanan Siar,430
302,Conival,58.1362,-4.8804,Northern Scottish Highlands,Highland,987
303,Consett,54.8517,-1.8315,North East,Durham,266
304,Conwy Youth Hostel,53.2785,-3.8418,Wales,Conwy,63
305,Copley,53.4871,-2.0406,North West,Greater Manchester,142
306,Corsham,51.431,-2.1883,South West,Wiltshire,96
307,Coseley,52.5476,-2.0729,West Midlands,West Midlands Conurbation,149
308,Coverack Youth Hostel,50.0225,-5.1005,South West,Cornwall,37
309,Coxlodge,55.0085,-1.6365,North East,Newcastle upon Tyne,78
310,Cradley (Herefordshire),52.1203,-2.4004,West Midlands,Herefordshire,100
311,Crail,56.2606,-2.6261,Central Scotland,Fife,30
312,Markinch,56.2036,-3.1303,Central Scotland,Fife,70
313,Marland,53.5991,-2.1892,North West,Greater Manchester,130
314,Marple,53.3971,-2.0602,North West,Greater Manchester,142
315,Martley,52.238,-2.3641,West Midlands,Worcestershire,88
316,Mattingley,51.3154,-0.9477,South East,Hampshire,65
317,Mauchline,55.5159,-4.3765,Western Scotland,East Ayrshire,145
318,Meall A' Bhuiridh,56.6121,-4.8486,Northern Scottish Highlands,Highland,1108
319,Meall Buidhe (Highland),57.0352,-5.5411,Northern Scottish Highlands,Highland,946
320,Meall Buidhe (Perth & Kinross),56.616,-4.4461,Central Scotland,Perth and Kinross,931
321,Meall Dearg,56.6818,-5.0043,Northern Scottish Highlands,Highland,951
322,Meall Garbh (1118m),56.5665,-4.2034,Central Scotland,Perth and Kinross,1118
323,Meall Nan Eun,56.5599,-4.939,Western Scotland,Argyll and Bute,926
324,Melrose,55.5986,-2.7204,Scottish Border,Scottish Borders,88
325,Mere Green,52.5867,-1.8192,West Midlands,West Midlands Conurbation,150
326,Mickfield,52.2125,1.1269,Eastern England,Suffolk,61
327,Middlesbrough F.C.,54.5777,-1.2126,North East,Middlesbrough,2
328,Middleton (Greater Manchester),53.5457,-2.2005,North West,Greater Manchester,77
329,Crossmaglen,54.0766,-6.6071,Northern Ireland,County Armagh,137
330,Cuckfield,51.0053,-0.1421,South East,West Sussex,95
331,Cudworth,53.5776,-1.4135,Yorkshire & Humber,South Yorkshire,70
332,Cullercoats,55.0315,-1.4384,North East,North Tyneside,31
333,Cwmcarn Forest Drive,51.6393,-3.1187,Wales,Caerphilly,128
334,Dalbeattie Mountain Bike Trail Centre,54.9228,-3.8155,Scottish Border,Dumfries and Galloway,14
335,Dale,51.7072,-5.164,Wales,Pembrokeshire,0
336,Middlewich,53.1923,-2.4424,North West,Cheshire East,30
337,Midhurst,50.9864,-0.7358,South East,West Sussex,31
338,Millennium Seed Bank Wakehurst Place,51.0709,-0.0909,South East,West Sussex,80
339,Minster,51.4204,0.8105,South East,Kent,30
340,Minworth,52.5275,-1.7711,West Midlands,West Midlands Conurbation,83
341,Mirfield,53.6799,-1.6952,Yorkshire & Humber,West Yorkshire,79
342,Monadh Mor,57.0278,-3.7524,Northern Scottish Highlands,Highland,1113
343,Monmore Green,52.5746,-2.1045,West Midlands,West Midlands Conurbation,140
344,Monmouth Youth Hostel,51.8184,-2.7221,Wales,Monmouthshire,33
345,Moor Side,53.7504,-1.7659,Yorkshire & Humber,West Yorkshire,161
346,Moray Monster Trails Mountain Bike Trail Centre,57.6067,-3.0921,Eastern Scottish Highlands,Moray,56
347,Morecambe,54.074,-2.8636,North West,Lancashire,3
348,Morpeth,55.1687,-1.6859,North East,Northumberland,28
349,Moseley (Nr Wolverhampton),52.5836,-2.0962,West Midlands,West Midlands Conurbation,137
350,Moseley Old Hall,52.6358,-2.1073,West Midlands,Staffordshire,120
351,Moss Nook,53.3651,-2.2464,North West,Greater Manchester,73
352,Moss Side,53.4534,-2.2396,North West,Greater Manchester,32
353,Motcombe,51.0254,-2.2133,South West,Dorset,90
354,Mouth Of The Severn,51.4604,-2.9537,South West,North Somerset,0
355,Mr. B's Amusements Southend-On-Sea,51.536,0.7396,Eastern England,Southend-on-Sea,4
356,Muirfield (Hon Company Of Edinburgh Golfers),56.0446,-2.8238,Scottish Border,East Lothian,20
357,Muirhead (Angus),56.497,-3.0684,Central Scotland,Angus,139
358,Darlaston Green,52.5759,-2.0326,West Midlands,West Midlands Conurbation,130
359,Darnall,53.3923,-1.4071,Yorkshire & Humber,South Yorkshire,57
360,Darsham,52.2739,1.549,Eastern England,Suffolk,16
361,Davenport,53.3882,-2.1505,North West,Greater Manchester,79
362,Dawlish,50.5818,-3.4632,South West,Devon,22
363,Debdale,53.465,-2.1617,North West,Greater Manchester,80
364,Deighton (North Yorkshire),54.4106,-1.4125,Yorkshire & Humber,North Yorkshire,75
365,Delamont Country Park,54.3784,-5.6794,Northern Ireland,County Down,16
366,Denny,56.0215,-3.9055,Central Scotland,Falkirk,45
367,Dewsbury Moor,53.6952,-1.6639,Yorkshire & Humber,West Yorkshire,48
368,Dirleton Castle Garden,56.0396,-2.7789,Scottish Border,East Lothian,31
369,Dorney Court,51.5005,-0.6695,South East,Buckinghamshire,21
370,Down House,51.3295,0.0487,South East,Greater London,139
371,Drayton (Portsmouth),50.8455,-1.0388,South East,Portsmouth,10
372,Driesh,56.8478,-3.1954,Central Scotland,Angus,947
373,Droitwich Spa,52.2683,-2.1493,West Midlands,Worcestershire,34
374,Mullach Na Dheiragain,57.2848,-5.1855,Northern Scottish Highlands,Highland,982
375,Mullach Nan Coirean,56.7518,-5.0679,Northern Scottish Highlands,Highland,939
376,Murrayfield (Edinburgh),55.9478,-3.2537,Scottish Border,Edinburgh,92
377,Nailsworth,51.6935,-2.2149,South West,Gloucestershire,74
378,Nairn,57.5866,-3.867,Northern Scottish Highlands,Highland,11
379,Nantwich,53.0669,-2.5227,North West,Cheshire East,32
380,Narberth,51.8,-4.7425,Wales,Pembrokeshire,95
381,National Botanic Garden Of Wales,51.8443,-4.1403,Wales,Carmarthenshire,54
382,Nevis Range Ski Centre Medium Level,56.8365,-4.972,Northern Scottish Highlands,Highland,650
383,New Brighton (West Yorkshire),53.7493,-1.6101,Yorkshire & Humber,West Yorkshire,140
384,New Milton,50.7568,-1.6665,South East,Hampshire,41
385,New Ollerton,53.2081,-1.0107,East Midlands,Nottinghamshire,45
386,New Pitsligo,57.5921,-2.1977,Eastern Scottish Highlands,Aberdeenshire,151
387,Newark-On-Trent,53.0747,-0.8034,East Midlands,Nottinghamshire,15
388,Newcastle International Airport,55.0353,-1.6913,North East,Newcastle upon Tyne,72
389,Newcastle Racecourse,55.0308,-1.614,North East,Newcastle upon Tyne,59
390,Newcastle Upon Tyne Youth Hostel,54.9915,-1.6035,North East,Newcastle upon Tyne,56
391,Newcastle Youth Hostel,54.2216,-5.883,Northern Ireland,County Down,7
392,Newcastle-Under-Lyme,53.0126,-2.2226,West Midlands,Staffordshire,128
393,Newent,51.9289,-2.4032,South West,Gloucestershire,40
394,Newgale,51.8506,-5.1279,Wales,Pembrokeshire,0
395,Newick Park,50.9471,0.0166,South East,East Sussex,27
396,Newnham Paddox Art Park,52.4455,-1.2899,West Midlands,Warwickshire,111
397,Winchester,51.0593,-1.3087,South East,Hampshire,33
